Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Sullivan County, Pennsylvania",42113,17.2,846,"2012 of 3146"
"Highlands County, Florida",12055,17.2,13591,"2013 of 3146"
"Walsh County, North Dakota",38099,17.2,1307,"2014 of 3146"
"Umatilla County, Oregon",41059,17.2,8685,"2015 of 3146"
"Cherokee County, Texas",48073,17.2,5835,"2016 of 3146"
"Gooding County, Idaho",16047,17.2,1672,"2017 of 3146"
"Latimer County, Oklahoma",40077,17.2,1208,"2018 of 3146"
"Henry County, Ohio",39069,17.2,3223,"2019 of 3146"
"Wyandot County, Ohio",39175,17.2,2611,"2020 of 3146"
"Freeborn County, Minnesota",27047,17.1,3732,"2021 of 3146"
"Amelia County, Virginia",51007,17.1,1591,"2022 of 3146"
"Greenup County, Kentucky",21089,17.1,4342,"2023 of 3146"
"Grundy County, Missouri",29079,17.1,1159,"2024 of 3146"
"Hale County, Texas",48189,17.1,3578,"2025 of 3146"
"Box Butte County, Nebraska",31013,17.1,1272,"2026 of 3146"
"Alcorn County, Mississippi",28003,17.1,4371,"2027 of 3146"
"Haskell County, Kansas",20081,17.1,425,"2028 of 3146"
"Camden County, North Carolina",37029,17.1,1274,"2029 of 3146"
"Carbon County, Utah",49007,17.1,2239,"2030 of 3146"
"Sutton County, Texas",48435,17.1,438,"2031 of 3146"
"Oneida County, Idaho",16071,17.1,468,"2032 of 3146"
"Upshur County, Texas",48459,17.1,4768,"2033 of 3146"
"Doddridge County, West Virginia",54017,17.1,1087,"2034 of 3146"
"Christian County, Illinois",17021,17.1,4046,"2035 of 3146"
"Pawnee County, Nebraska",31133,17.1,329,"2036 of 3146"
"Pike County, Georgia",13231,17.1,2131,"2037 of 3146"
"Quay County, New Mexico",35037,17.1,1013,"2038 of 3146"
"Audubon County, Iowa",19009,17.1,688,"2039 of 3146"
"Marion County, Arkansas",05089,17.1,2151,"2040 of 3146"
"Stanislaus County, California",06099,17.1,58652,"2041 of 3146"
"Finney County, Kansas",20055,17.1,3673,"2042 of 3146"
"Oglethorpe County, Georgia",13221,17.1,1790,"2042 of 3146"
"Crawford County, Illinois",17033,17.1,2351,"2044 of 3146"
"Henry County, Alabama",01067,17.1,2076,"2045 of 3146"
"Yuba County, California",06115,17.1,8193,"2046 of 3146"
"Clearwater County, Minnesota",27029,17.1,1028,"2047 of 3146"
"Shiawassee County, Michigan",26155,17.0,8186,"2048 of 3146"
"Hamilton County, Illinois",17065,17.0,987,"2049 of 3146"
"Stark County, Illinois",17175,17.0,661,"2050 of 3146"
"Aleutians West Census Area, Alaska",02016,17.0,703,"2051 of 3146"
"Clay County, Indiana",18021,17.0,3104,"2052 of 3146"
"Lucas County, Iowa",19117,17.0,1014,"2053 of 3146"
"Dodge County, Wisconsin",55027,17.0,10737,"2054 of 3146"
"Cowlitz County, Washington",53015,17.0,12622,"2055 of 3146"
"Towner County, North Dakota",38095,17.0,275,"2056 of 3146"
"Gilmer County, West Virginia",54021,17.0,945,"2057 of 3146"
"Morgan County, West Virginia",54065,17.0,2243,"2058 of 3146"
"Creek County, Oklahoma",40037,17.0,8250,"2059 of 3146"
"Alcona County, Michigan",26001,16.9,1443,"2060 of 3146"
"Rhea County, Tennessee",47143,16.9,3745,"2061 of 3146"
"Knox County, Indiana",18083,16.9,4149,"2062 of 3146"
"Angelina County, Texas",48005,16.9,9694,"2063 of 3146"
"Montague County, Texas",48337,16.9,2307,"2064 of 3146"
"Fairfield County, South Carolina",45039,16.9,2752,"2065 of 3146"
"LaFourche Parish, Louisiana",22057,16.9,11257,"2066 of 3146"
"Linn County, Missouri",29115,16.9,1400,"2067 of 3146"
"Tunica County, Mississippi",28143,16.9,1128,"2068 of 3146"
"Lyon County, Kentucky",21143,16.9,1109,"2069 of 3146"
"Preston County, West Virginia",54077,16.9,4192,"2069 of 3146"
"Stephens County, Oklahoma",40137,16.9,5103,"2071 of 3146"
"Jefferson Davis Parish, Louisiana",22053,16.9,3508,"2072 of 3146"
"Upshur County, West Virginia",54097,16.9,2801,"2073 of 3146"
"Hamilton County, New York",36041,16.8,601,"2074 of 3146"
"Lincoln County, Missouri",29113,16.8,6300,"2075 of 3146"
"Hardin County, Texas",48199,16.8,6446,"2076 of 3146"
"Wheeler County, Texas",48483,16.8,610,"2077 of 3146"
"Seneca County, Ohio",39147,16.8,6261,"2078 of 3146"
"Motley County, Texas",48345,16.8,148,"2079 of 3146"
"Shelby County, Illinois",17173,16.8,2619,"2080 of 3146"
"Webster County, Missouri",29225,16.8,4223,"2081 of 3146"
"Hamblen County, Tennessee",47063,16.8,7377,"2082 of 3146"
"Beckham County, Oklahoma",40009,16.8,2482,"2083 of 3146"
"Saluda County, South Carolina",45081,16.8,2399,"2084 of 3146"
"Oconto County, Wisconsin",55083,16.8,4636,"2085 of 3146"
"Cottle County, Texas",48101,16.8,179,"2086 of 3146"
"Putnam County, Indiana",18133,16.8,4162,"2087 of 3146"
"Humboldt County, Nevada",32013,16.8,1864,"2088 of 3146"
"Miller County, Arkansas",05091,16.8,4970,"2089 of 3146"
"Jefferson County, Tennessee",47089,16.8,6365,"2090 of 3146"
"Armstrong County, Pennsylvania",42005,16.7,8136,"2091 of 3146"
"Monroe County, Mississippi",28095,16.7,4144,"2092 of 3146"
"Franklin County, Illinois",17055,16.7,4603,"2093 of 3146"
"Greene County, Tennessee",47059,16.7,8324,"2094 of 3146"
"Jackson County, Indiana",18071,16.7,5014,"2095 of 3146"
"Carroll County, Missouri",29033,16.7,1029,"2096 of 3146"
"DeKalb County, Tennessee",47041,16.7,2360,"2097 of 3146"
"Montgomery County, Illinois",17135,16.7,3498,"2098 of 3146"
"St. Helena Parish, Louisiana",22091,16.7,1236,"2099 of 3146"
"Carroll County, Indiana",18015,16.7,2336,"2100 of 3146"
"Yakima County, Washington",53077,16.7,25240,"2101 of 3146"
"Lake of the Woods County, Minnesota",27077,16.7,468,"2102 of 3146"
"Belmont County, Ohio",39013,16.7,8385,"2103 of 3146"
"Edgefield County, South Carolina",45037,16.7,3278,"2104 of 3146"
"Langlade County, Wisconsin",55067,16.7,2353,"2105 of 3146"
"Boyd County, Nebraska",31015,16.7,242,"2106 of 3146"
"Lavaca County, Texas",48285,16.7,2295,"2107 of 3146"
"Pearl River County, Mississippi",28109,16.7,6290,"2108 of 3146"
"Perry County, Pennsylvania",42099,16.7,5447,"2109 of 3146"
"Bedford County, Tennessee",47003,16.6,5333,"2110 of 3146"
"Wood County, Texas",48499,16.6,5366,"2111 of 3146"
"Newaygo County, Michigan",26123,16.6,5610,"2112 of 3146"
"Delaware County, Iowa",19055,16.6,1961,"2113 of 3146"
"Pawnee County, Oklahoma",40117,16.6,1876,"2114 of 3146"
"Elko County, Nevada",32007,16.6,5551,"2115 of 3146"
"Walker County, Georgia",13295,16.6,8070,"2116 of 3146"
"Pike County, Mississippi",28113,16.6,4228,"2117 of 3146"
"Logan County, Kansas",20109,16.6,318,"2118 of 3146"
"Van Wert County, Ohio",39161,16.6,3221,"2119 of 3146"
"Northumberland County, Pennsylvania",42097,16.6,11149,"2120 of 3146"
"Schuylkill County, Pennsylvania",42107,16.6,17334,"2121 of 3146"
"Palo Pinto County, Texas",48363,16.6,3223,"2122 of 3146"
"Jasper County, Illinois",17079,16.6,1113,"2123 of 3146"
"Schleicher County, Texas",48413,16.6,326,"2124 of 3146"
"Dewey County, South Dakota",46041,16.6,514,"2125 of 3146"
"Putnam County, Illinois",17155,16.6,701,"2126 of 3146"
"Rusk County, Wisconsin",55107,16.6,1703,"2127 of 3146"
"Trigg County, Kentucky",21221,16.6,1707,"2128 of 3146"
"Jackson County, Texas",48239,16.5,1632,"2129 of 3146"
"Ontonagon County, Michigan",26131,16.5,803,"2130 of 3146"
"Harrison County, Missouri",29081,16.5,968,"2131 of 3146"
"Hopkins County, Kentucky",21107,16.5,5228,"2132 of 3146"
"Blaine County, Oklahoma",40011,16.5,1161,"2133 of 3146"
"North Slope Borough, Alaska",02185,16.5,1075,"2134 of 3146"
"Randolph County, Alabama",01111,16.5,2607,"2135 of 3146"
"Giles County, Tennessee",47055,16.5,3424,"2136 of 3146"
"Logan County, Ohio",39091,16.5,5149,"2137 of 3146"
"Wilson County, Kansas",20205,16.5,990,"2138 of 3146"
"Henry County, Tennessee",47079,16.5,3858,"2139 of 3146"
"Price County, Wisconsin",55099,16.5,1698,"2140 of 3146"
"Somerset County, Maine",23025,16.5,6159,"2141 of 3146"
"Pulaski County, Kentucky",21199,16.5,7440,"2142 of 3146"
"Lanier County, Georgia",13173,16.5,1128,"2143 of 3146"
"Grays Harbor County, Washington",53027,16.5,8677,"2144 of 3146"
"Coahoma County, Mississippi",28027,16.5,2376,"2145 of 3146"
"Henry County, Indiana",18065,16.4,5652,"2146 of 3146"
"Burke County, North Carolina",37023,16.4,10721,"2147 of 3146"
"Lee County, Iowa",19111,16.4,3980,"2148 of 3146"
"Sibley County, Minnesota",27143,16.4,1693,"2149 of 3146"
"Newton County, Mississippi",28101,16.4,2248,"2150 of 3146"
"Ziebach County, South Dakota",46137,16.4,270,"2151 of 3146"
"Ionia County, Michigan",26067,16.4,7168,"2152 of 3146"
"Lake County, Oregon",41037,16.4,967,"2153 of 3146"
"Martin County, North Carolina",37117,16.4,2705,"2154 of 3146"
"Logan County, Kentucky",21141,16.4,3018,"2155 of 3146"
"Kern County, California",06029,16.4,88094,"2156 of 3146"
"Thurston County, Nebraska",31173,16.4,633,"2157 of 3146"
"White County, Indiana",18181,16.4,2720,"2158 of 3146"
"Cass County, Texas",48067,16.4,3444,"2159 of 3146"
"Washington County, Idaho",16087,16.3,1164,"2160 of 3146"
"Titus County, Texas",48449,16.3,3253,"2161 of 3146"
"St. James Parish, Louisiana",22093,16.3,2391,"2162 of 3146"
"Appanoose County, Iowa",19007,16.3,1454,"2163 of 3146"
"Barren County, Kentucky",21009,16.3,4878,"2164 of 3146"
"Greeley County, Nebraska",31077,16.3,271,"2165 of 3146"
"Robertson County, Kentucky",21201,16.3,246,"2166 of 3146"
"Macon County, Missouri",29121,16.3,1712,"2167 of 3146"
"Clinton County, Indiana",18023,16.3,3453,"2168 of 3146"
"Johnson County, Kentucky",21115,16.3,2589,"2169 of 3146"
"Scott County, Missouri",29201,16.3,4287,"2170 of 3146"
"Menominee County, Michigan",26109,16.3,2798,"2171 of 3146"
"Preble County, Ohio",39135,16.3,4689,"2172 of 3146"
"Musselshell County, Montana",30065,16.3,576,"2173 of 3146"
"Fayette County, Ohio",39047,16.3,3191,"2174 of 3146"
"Waushara County, Wisconsin",55137,16.3,2971,"2175 of 3146"
"Camas County, Idaho",16025,16.3,119,"2176 of 3146"
"Emery County, Utah",49015,16.3,1026,"2177 of 3146"
"Cleveland County, Arkansas",05025,16.2,926,"2178 of 3146"
"Scurry County, Texas",48415,16.2,1809,"2179 of 3146"
"Harper County, Kansas",20077,16.2,628,"2180 of 3146"
"Stephens County, Texas",48429,16.2,1021,"2181 of 3146"
"Laurens County, Georgia",13175,16.2,5152,"2182 of 3146"
"Simpson County, Mississippi",28127,16.2,2957,"2183 of 3146"
"Foard County, Texas",48155,16.2,152,"2184 of 3146"
"Gadsden County, Florida",12039,16.2,5215,"2185 of 3146"
"Hardin County, Ohio",39065,16.2,3109,"2186 of 3146"
"Eddy County, New Mexico",35015,16.2,6038,"2187 of 3146"
"McMinn County, Tennessee",47107,16.2,6081,"2188 of 3146"
"Red Lake County, Minnesota",27125,16.2,454,"2189 of 3146"
"Roger Mills County, Oklahoma",40129,16.2,401,"2190 of 3146"
"Seminole County, Georgia",13253,16.2,971,"2191 of 3146"
"Orleans County, New York",36073,16.2,4776,"2192 of 3146"
"Laurens County, South Carolina",45059,16.2,7453,"2193 of 3146"
"Essex County, Vermont",50009,16.2,766,"2194 of 3146"
"Dickson County, Tennessee",47043,16.2,5890,"2195 of 3146"
"Butte County, Idaho",16023,16.2,309,"2196 of 3146"
"Haskell County, Oklahoma",40061,16.2,1401,"2197 of 3146"
"St. Joseph County, Michigan",26149,16.2,6613,"2198 of 3146"
"Greene County, Arkansas",05055,16.2,4859,"2199 of 3146"
"Toombs County, Georgia",13279,16.2,2835,"2200 of 3146"
"Benson County, North Dakota",38005,16.2,632,"2201 of 3146"
"Linn County, Kansas",20107,16.2,1105,"2202 of 3146"
"Lincoln County, Mississippi",28085,16.2,3757,"2203 of 3146"
"Owsley County, Kentucky",21189,16.2,499,"2204 of 3146"
"Panola County, Texas",48365,16.1,2542,"2205 of 3146"
"Kimball County, Nebraska",31105,16.1,431,"2206 of 3146"
"Nome Census Area, Alaska",02180,16.1,891,"2207 of 3146"
"Boone County, Arkansas",05009,16.1,4193,"2208 of 3146"
"Butler County, Alabama",01013,16.1,2230,"2209 of 3146"
"Bates County, Missouri",29013,16.1,1816,"2210 of 3146"
"Allen County, Kentucky",21003,16.1,2325,"2211 of 3146"
"Robertson County, Texas",48395,16.1,1870,"2212 of 3146"
"Lake and Peninsula Borough, Alaska",02164,16.1,148,"2213 of 3146"
"Perry County, Indiana",18123,16.1,2194,"2214 of 3146"
"Jerome County, Idaho",16053,16.1,2322,"2215 of 3146"
"Claiborne County, Tennessee",47025,16.1,3661,"2216 of 3146"
"Pittsburg County, Oklahoma",40121,16.1,5002,"2217 of 3146"
"Marengo County, Alabama",01091,16.1,2109,"2218 of 3146"
"Dyer County, Tennessee",47045,16.1,4109,"2219 of 3146"
"Sandusky County, Ohio",39143,16.1,6601,"2220 of 3146"
"Benton County, Indiana",18007,16.1,941,"2221 of 3146"
"Mineral County, Montana",30061,16.1,515,"2222 of 3146"
"Muskingum County, Ohio",39119,16.1,9437,"2223 of 3146"
"St. Clair County, Alabama",01115,16.1,9880,"2224 of 3146"
"Champaign County, Ohio",39021,16.1,4319,"2225 of 3146"
"Coryell County, Texas",48099,16.1,7681,"2226 of 3146"
"Esmeralda County, Nevada",32009,16.1,129,"2227 of 3146"
"Mason County, Illinois",17125,16.0,1582,"2228 of 3146"
"Uinta County, Wyoming",56041,16.0,2078,"2229 of 3146"
"Comanche County, Kansas",20033,16.0,200,"2230 of 3146"
"Montgomery County, Georgia",13209,16.0,966,"2231 of 3146"
"Eastland County, Texas",48133,16.0,1997,"2232 of 3146"
"Johnson County, Illinois",17087,16.0,1472,"2233 of 3146"
"Fentress County, Tennessee",47049,16.0,2081,"2234 of 3146"
"Lawrence County, Missouri",29109,16.0,4068,"2235 of 3146"
"Crawford County, Arkansas",05033,16.0,6747,"2236 of 3146"
"Clarke County, Iowa",19039,16.0,1020,"2237 of 3146"
"Chester County, Tennessee",47023,16.0,1770,"2238 of 3146"
"Huron County, Michigan",26063,16.0,3682,"2239 of 3146"
"Juab County, Utah",49023,16.0,1012,"2239 of 3146"
"Ballard County, Kentucky",21007,15.9,897,"2241 of 3146"
"Caswell County, North Carolina",37033,15.9,2664,"2242 of 3146"
"Buena Vista City, Virginia",51530,15.9,657,"2243 of 3146"
"Jefferson County, Pennsylvania",42065,15.9,4975,"2244 of 3146"
"Franklin County, Georgia",13119,15.9,2469,"2245 of 3146"
"Iosco County, Michigan",26069,15.9,3110,"2246 of 3146"
"Floyd County, Texas",48153,15.9,600,"2247 of 3146"
"Hall County, Texas",48191,15.9,331,"2248 of 3146"
"Navarro County, Texas",48349,15.9,5086,"2249 of 3146"
"Powell County, Kentucky",21197,15.9,1333,"2250 of 3146"
"Jefferson County, Mississippi",28063,15.9,773,"2251 of 3146"
"St. John the Baptist Parish, Louisiana",22095,15.9,4566,"2252 of 3146"
"Gallia County, Ohio",39053,15.9,3286,"2253 of 3146"
"Marinette County, Wisconsin",55075,15.9,4779,"2254 of 3146"
"Deuel County, Nebraska",31049,15.9,215,"2255 of 3146"
"Iroquois County, Illinois",17075,15.9,3129,"2256 of 3146"
"Chicot County, Arkansas",05017,15.9,1182,"2257 of 3146"
"Henry County, Missouri",29083,15.9,2469,"2258 of 3146"
"Bath County, Virginia",51017,15.9,500,"2259 of 3146"
"Lee County, South Carolina",45061,15.9,1937,"2260 of 3146"
"Chautauqua County, Kansas",20019,15.9,379,"2261 of 3146"
"Somerset County, Pennsylvania",42111,15.9,8795,"2262 of 3146"
"Lincoln County, Georgia",13181,15.9,914,"2263 of 3146"
"Howard County, Iowa",19089,15.8,995,"2264 of 3146"
"Maries County, Missouri",29125,15.8,1011,"2265 of 3146"
"Lamar County, Georgia",13171,15.8,1922,"2266 of 3146"
"Scott County, Illinois",17171,15.8,562,"2267 of 3146"
"Jefferson County, Ohio",39081,15.8,7481,"2268 of 3146"
"Hockley County, Texas",48219,15.8,2277,"2269 of 3146"
"Bladen County, North Carolina",37017,15.8,3791,"2270 of 3146"
"Wilkes County, North Carolina",37193,15.8,7796,"2271 of 3146"
"Tate County, Mississippi",28137,15.8,2944,"2272 of 3146"
"Baraga County, Michigan",26013,15.8,987,"2273 of 3146"
"Warren County, North Carolina",37185,15.8,2300,"2274 of 3146"
"Fulton County, Indiana",18049,15.8,2188,"2275 of 3146"
"Lafayette County, Arkansas",05073,15.8,775,"2276 of 3146"
"Dawson County, Nebraska",31047,15.8,2414,"2277 of 3146"
"Cannon County, Tennessee",47015,15.8,1602,"2278 of 3146"
"Hickman County, Kentucky",21105,15.8,519,"2279 of 3146"
"Darke County, Ohio",39037,15.8,5566,"2280 of 3146"
"Lawrence County, Indiana",18093,15.8,5078,"2280 of 3146"
"Dallam County, Texas",48111,15.8,712,"2282 of 3146"
"Tama County, Iowa",19171,15.8,1834,"2283 of 3146"
"Coleman County, Texas",48083,15.8,970,"2284 of 3146"
"Ross County, Ohio",39141,15.8,8598,"2285 of 3146"
"Uintah County, Utah",49047,15.8,3297,"2286 of 3146"
"Arkansas County, Arkansas",05001,15.8,1959,"2287 of 3146"
"Stone County, Mississippi",28131,15.8,1906,"2288 of 3146"
"Evans County, Georgia",13109,15.8,1136,"2289 of 3146"
"Van Zandt County, Texas",48467,15.8,6009,"2290 of 3146"
"Caldwell County, North Carolina",37027,15.7,9294,"2291 of 3146"
"Bennett County, South Dakota",46007,15.7,297,"2292 of 3146"
"Grimes County, Texas",48185,15.7,3019,"2293 of 3146"
"Richmond County, North Carolina",37153,15.7,4808,"2294 of 3146"
"Whitfield County, Georgia",13313,15.7,10556,"2295 of 3146"
"Shawano County, Wisconsin",55115,15.7,4600,"2296 of 3146"
"Scioto County, Ohio",39145,15.7,8298,"2297 of 3146"
"Randolph County, North Carolina",37151,15.7,15552,"2298 of 3146"
"Brooks County, Texas",48047,15.7,635,"2299 of 3146"
"Hart County, Georgia",13147,15.7,2924,"2300 of 3146"
"Adair County, Kentucky",21001,15.7,2069,"2301 of 3146"
"Catron County, New Mexico",35003,15.7,445,"2302 of 3146"
"Montgomery County, North Carolina",37123,15.7,2971,"2303 of 3146"
"Tehama County, California",06103,15.7,6868,"2304 of 3146"
"Payette County, Idaho",16075,15.7,2391,"2305 of 3146"
"Montgomery County, Kentucky",21173,15.7,2980,"2306 of 3146"
"Paulding County, Ohio",39125,15.6,2030,"2307 of 3146"
"Haakon County, South Dakota",46055,15.6,214,"2308 of 3146"
"Nicholas County, West Virginia",54067,15.6,2862,"2309 of 3146"
"Ochiltree County, Texas",48357,15.6,949,"2310 of 3146"
"Noxubee County, Mississippi",28103,15.6,1085,"2311 of 3146"
"Conway County, Arkansas",05029,15.6,2263,"2312 of 3146"
"Schoolcraft County, Michigan",26153,15.6,963,"2313 of 3146"
"Pike County, Missouri",29163,15.6,2000,"2314 of 3146"
"Barbour County, West Virginia",54001,15.6,1758,"2315 of 3146"
"McIntosh County, North Dakota",38051,15.6,312,"2316 of 3146"
"Elk County, Kansas",20049,15.6,294,"2317 of 3146"
"Todd County, South Dakota",46121,15.6,768,"2318 of 3146"
"Castro County, Texas",48069,15.6,727,"2319 of 3146"
"Stewart County, Tennessee",47161,15.6,1499,"2320 of 3146"
"Covington City, Virginia",51580,15.6,621,"2321 of 3146"
"San Patricio County, Texas",48409,15.6,6681,"2322 of 3146"
"Abbeville County, South Carolina",45001,15.6,2667,"2323 of 3146"
"Madison County, Missouri",29123,15.6,1331,"2324 of 3146"
"Person County, North Carolina",37145,15.6,4372,"2325 of 3146"
"Terrebonne Parish, Louisiana",22109,15.6,11537,"2326 of 3146"
"Cumberland County, New Jersey",34011,15.6,16053,"2327 of 3146"
"Adams County, Iowa",19003,15.6,414,"2328 of 3146"
"Cleburne County, Arkansas",05023,15.5,2906,"2329 of 3146"
"Douglas County, South Dakota",46043,15.5,316,"2330 of 3146"
"Lake County, California",06033,15.5,7212,"2331 of 3146"
"Koochiching County, Minnesota",27071,15.5,1454,"2332 of 3146"
"Mineral County, West Virginia",54057,15.5,3008,"2333 of 3146"
"White County, Illinois",17193,15.5,1541,"2334 of 3146"
"Scotland County, North Carolina",37165,15.5,3663,"2335 of 3146"
"Orange County, Texas",48361,15.5,8708,"2336 of 3146"
"Roscommon County, Michigan",26143,15.5,2931,"2337 of 3146"
"Lincoln County, Oklahoma",40081,15.5,3679,"2338 of 3146"
"Suwannee County, Florida",12121,15.5,4817,"2339 of 3146"
"Rusk County, Texas",48401,15.5,5700,"2340 of 3146"
"Carter County, Missouri",29035,15.5,654,"2341 of 3146"
"Watonwan County, Minnesota",27165,15.5,1148,"2342 of 3146"
"Adams County, Indiana",18001,15.5,3284,"2343 of 3146"
"Prairie County, Arkansas",05117,15.4,923,"2344 of 3146"
"Cumberland County, Illinois",17035,15.4,1175,"2345 of 3146"
"Halifax County with South Boston City, Virginia",51083,15.4,3835,"2346 of 3146"
"Cleburne County, Alabama",01029,15.4,1616,"2347 of 3146"
"Big Stone County, Minnesota",27011,15.4,562,"2348 of 3146"
"Lawrence County, Arkansas",05075,15.4,1730,"2349 of 3146"
"Webster Parish, Louisiana",22119,15.4,4192,"2350 of 3146"
"Colfax County, Nebraska",31037,15.4,1028,"2351 of 3146"
"Screven County, Georgia",13251,15.4,1497,"2352 of 3146"
"Ector County, Texas",48135,15.4,14687,"2353 of 3146"
"Johnson County, Arkansas",05071,15.4,2679,"2354 of 3146"
"Wayne County, Illinois",17191,15.4,1772,"2355 of 3146"
"Potter County, Pennsylvania",42105,15.4,1864,"2356 of 3146"
"Caddo County, Oklahoma",40015,15.4,3011,"2357 of 3146"
"Washington County, Colorado",08121,15.4,521,"2358 of 3146"
"Gratiot County, Michigan",26057,15.4,4339,"2359 of 3146"
