Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Somerset County, Maryland",24039,35.3,6911,"2770 of 3146"
"Alexander County, Illinois",17003,35.3,2167,"2769 of 3146"
"Carter County, Tennessee",47019,35.3,19275,"2768 of 3146"
"Colfax County, New Mexico",35007,35.2,4076,"2767 of 3146"
"La Paz County, Arizona",04012,35.2,7208,"2766 of 3146"
"Adair County, Kentucky",21001,35.2,6264,"2765 of 3146"
"San Juan County, Utah",49037,35.2,5243,"2764 of 3146"
"Washington County, Georgia",13303,35.2,6494,"2763 of 3146"
"Le Flore County, Oklahoma",40079,35.2,17104,"2762 of 3146"
"Tehama County, California",06103,35.2,22197,"2761 of 3146"
"Hansford County, Texas",48195,35.1,1913,"2760 of 3146"
"Tyrrell County, North Carolina",37177,35.1,1169,"2759 of 3146"
"Bibb County, Georgia",13021,35.1,51442,"2758 of 3146"
"Warren County, North Carolina",37185,35.1,6655,"2757 of 3146"
"Coffee County, Georgia",13069,35.1,13701,"2756 of 3146"
"Lanier County, Georgia",13173,35.1,3505,"2755 of 3146"
"Holmes County, Florida",12059,35.1,6158,"2754 of 3146"
"Winston County, Mississippi",28159,35.1,6229,"2753 of 3146"
"Laurel County, Kentucky",21125,35.0,20834,"2752 of 3146"
"Dixie County, Florida",12029,35.0,5210,"2751 of 3146"
"Benton County, Tennessee",47005,35.0,5602,"2750 of 3146"
"Kiowa County, Oklahoma",40075,35.0,3028,"2749 of 3146"
"Charlotte County, Virginia",51037,35.0,4131,"2748 of 3146"
"Elbert County, Georgia",13105,35.0,6611,"2747 of 3146"
"Choctaw County, Alabama",01023,35.0,4445,"2746 of 3146"
"Chattahoochee County, Georgia",13053,35.0,2503,"2745 of 3146"
"Richmond County, Georgia",13245,34.9,67099,"2744 of 3146"
"Mercer County, West Virginia",54055,34.9,20461,"2743 of 3146"
"Roberts County, South Dakota",46109,34.9,3518,"2742 of 3146"
"Martinsville City, Virginia",51690,34.9,4325,"2741 of 3146"
"West Carroll Parish, Louisiana",22123,34.9,3700,"2740 of 3146"
"Lake and Peninsula Borough, Alaska",02164,34.9,483,"2739 of 3146"
"Warren County, Tennessee",47177,34.9,13981,"2738 of 3146"
