Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Garfield County, Montana",30033,21.5,223,"1135 of 3146"
"Chippewa County, Minnesota",27023,21.5,2522,"1134 of 3146"
"Lyon County, Nevada",32019,21.5,11637,"1133 of 3146"
"Lafayette County, Missouri",29107,21.5,6878,"1132 of 3146"
"Bennington County, Vermont",50003,21.5,7389,"1131 of 3146"
"Queens County, New York",36081,21.5,485744,"1130 of 3146"
"Walton County, Georgia",13297,21.5,19386,"1129 of 3146"
"Nez Perce County, Idaho",16069,21.5,8403,"1128 of 3146"
"Armstrong County, Pennsylvania",42005,21.5,13992,"1127 of 3146"
"Greene County, Pennsylvania",42059,21.5,7151,"1126 of 3146"
"Divide County, North Dakota",38023,21.4,480,"1125 of 3146"
"White Pine County, Nevada",32033,21.4,1745,"1124 of 3146"
"Sterling County, Texas",48431,21.4,256,"1123 of 3146"
"Ector County, Texas",48135,21.4,34048,"1122 of 3146"
"Montgomery County, Indiana",18107,21.4,7867,"1121 of 3146"
"Jasper County, Illinois",17079,21.4,2014,"1120 of 3146"
"Santa Cruz County, California",06087,21.4,56115,"1119 of 3146"
"Rush County, Kansas",20165,21.4,630,"1118 of 3146"
"Shenandoah County, Virginia",51171,21.4,9133,"1117 of 3146"
"Powell County, Montana",30077,21.4,1116,"1116 of 3146"
"McLean County, Illinois",17113,21.4,35179,"1115 of 3146"
"Summit County, Ohio",39153,21.4,113656,"1114 of 3146"
"Goliad County, Texas",48175,21.4,1593,"1113 of 3146"
"McIntosh County, North Dakota",38051,21.4,530,"1112 of 3146"
"Lamoille County, Vermont",50015,21.4,5284,"1111 of 3146"
"Rains County, Texas",48379,21.4,2492,"1110 of 3146"
"Towner County, North Dakota",38095,21.4,464,"1109 of 3146"
"Cooper County, Missouri",29053,21.4,3421,"1108 of 3146"
"Weston County, Wyoming",56045,21.3,1431,"1107 of 3146"
"Gulf County, Florida",12045,21.3,2800,"1106 of 3146"
"Phillips County, Colorado",08095,21.3,897,"1105 of 3146"
"Scott County, Illinois",17171,21.3,1051,"1104 of 3146"
"Goshen County, Wyoming",56015,21.3,2680,"1103 of 3146"
"St. Clair County, Alabama",01115,21.3,18253,"1102 of 3146"
"Calhoun County, Iowa",19025,21.3,1916,"1101 of 3146"
"Motley County, Texas",48345,21.2,266,"1100 of 3146"
"DeKalb County, Missouri",29063,21.2,1950,"1099 of 3146"
"Allamakee County, Iowa",19005,21.2,2863,"1098 of 3146"
"Rockland County, New York",36087,21.2,67927,"1097 of 3146"
"Lonoke County, Arkansas",05085,21.2,15222,"1096 of 3146"
"Alger County, Michigan",26003,21.2,1719,"1095 of 3146"
"Jackson County, Texas",48239,21.2,3073,"1094 of 3146"
"De Witt County, Illinois",17039,21.2,3316,"1093 of 3146"
"Eau Claire County, Wisconsin",55035,21.2,21053,"1092 of 3146"
"Hancock County, Kentucky",21091,21.2,1830,"1091 of 3146"
"St. Clair County, Michigan",26147,21.2,33346,"1090 of 3146"
"Ionia County, Michigan",26067,21.2,12794,"1089 of 3146"
"Sumner County, Kansas",20191,21.2,4773,"1088 of 3146"
"Dickinson County, Michigan",26043,21.2,5288,"1087 of 3146"
"McKenzie County, North Dakota",38053,21.2,2785,"1086 of 3146"
"Manatee County, Florida",12081,21.2,80380,"1085 of 3146"
"Loup County, Nebraska",31115,21.2,128,"1084 of 3146"
"Webster County, Nebraska",31181,21.1,727,"1083 of 3146"
"Tarrant County, Texas",48439,21.1,427819,"1082 of 3146"
"Powder River County, Montana",30075,21.1,331,"1081 of 3146"
"La Salle County, Illinois",17099,21.1,22426,"1080 of 3146"
"Moore County, Tennessee",47127,21.1,1327,"1079 of 3146"
"Union County, Indiana",18161,21.1,1467,"1078 of 3146"
"Susquehanna County, Pennsylvania",42115,21.1,8534,"1077 of 3146"
"Haines Borough, Alaska",02100,21.1,521,"1076 of 3146"
"Livingston Parish, Louisiana",22063,21.1,29015,"1075 of 3146"
"Tipton County, Tennessee",47167,21.1,12757,"1074 of 3146"
"Jackson County, Iowa",19097,21.1,4022,"1073 of 3146"
"Palm Beach County, Florida",12099,21.1,304296,"1072 of 3146"
"Lancaster County, South Carolina",45057,21.0,18886,"1071 of 3146"
"Grant County, Minnesota",27051,21.0,1234,"1070 of 3146"
"Rock County, Wisconsin",55105,21.0,33322,"1069 of 3146"
"Hays County, Texas",48209,21.0,43169,"1068 of 3146"
"Flathead County, Montana",30029,21.0,20795,"1067 of 3146"
"Lehigh County, Pennsylvania",42077,21.0,74569,"1066 of 3146"
"Schoharie County, New York",36095,21.0,6263,"1065 of 3146"
"Schleicher County, Texas",48413,21.0,626,"1064 of 3146"
"Charleston County, South Carolina",45019,21.0,81688,"1063 of 3146"
"Martin County, Minnesota",27091,21.0,4100,"1062 of 3146"
"Waushara County, Wisconsin",55137,21.0,4791,"1061 of 3146"
"Smith County, Kansas",20183,21.0,745,"1060 of 3146"
"Denver County, Colorado",08031,21.0,145392,"1059 of 3146"
"Petroleum County, Montana",30069,21.0,92,"1058 of 3146"
"Bonneville County, Idaho",16019,20.9,23694,"1057 of 3146"
"Darke County, Ohio",39037,20.9,10620,"1056 of 3146"
"Washington County, Utah",49053,20.9,34269,"1055 of 3146"
"Republic County, Kansas",20157,20.9,950,"1054 of 3146"
"Caribou County, Idaho",16029,20.9,1437,"1053 of 3146"
"Douglas County, Wisconsin",55031,20.9,8809,"1052 of 3146"
"Atchison County, Missouri",29005,20.9,1074,"1051 of 3146"
"Washakie County, Wyoming",56043,20.9,1642,"1050 of 3146"
"Charlotte County, Florida",12015,20.9,37061,"1049 of 3146"
"Dallam County, Texas",48111,20.9,1497,"1048 of 3146"
"Winona County, Minnesota",27169,20.9,9835,"1047 of 3146"
"Perry County, Missouri",29157,20.9,3933,"1046 of 3146"
"Wood County, Ohio",39173,20.9,25740,"1045 of 3146"
"Yates County, New York",36123,20.9,4971,"1044 of 3146"
"Blount County, Tennessee",47009,20.9,26628,"1043 of 3146"
"Ulster County, New York",36111,20.8,35613,"1042 of 3146"
"Judith Basin County, Montana",30045,20.8,407,"1041 of 3146"
"Reagan County, Texas",48383,20.8,777,"1040 of 3146"
"Becker County, Minnesota",27005,20.8,6960,"1039 of 3146"
"Ringgold County, Iowa",19159,20.8,988,"1038 of 3146"
"Faribault County, Minnesota",27043,20.8,2794,"1037 of 3146"
"Belmont County, Ohio",39013,20.8,13328,"1036 of 3146"
"Manistee County, Michigan",26101,20.8,4810,"1035 of 3146"
"Garrett County, Maryland",24023,20.8,5923,"1034 of 3146"
"Lincoln County, Maine",23015,20.8,6992,"1033 of 3146"
"Faulk County, South Dakota",46049,20.8,468,"1032 of 3146"
"Kenai Peninsula Borough, Alaska",02122,20.8,11898,"1031 of 3146"
"Pinellas County, Florida",12103,20.8,197496,"1030 of 3146"
"Shelby County, Illinois",17173,20.8,4473,"1029 of 3146"
"Marshall County, Iowa",19127,20.8,8037,"1028 of 3146"
"Mille Lacs County, Minnesota",27095,20.8,5251,"1027 of 3146"
"Brevard County, Florida",12009,20.8,120229,"1026 of 3146"
"Juab County, Utah",49023,20.8,2315,"1025 of 3146"
"Antrim County, Michigan",26009,20.8,4762,"1024 of 3146"
"Kiowa County, Kansas",20097,20.8,479,"1023 of 3146"
"Lincoln County, Kansas",20105,20.8,610,"1022 of 3146"
"Wibaux County, Montana",30109,20.7,227,"1021 of 3146"
"Northumberland County, Virginia",51133,20.7,2519,"1020 of 3146"
"Lexington County, South Carolina",45063,20.7,59443,"1019 of 3146"
"Sherman County, Oregon",41055,20.7,339,"1018 of 3146"
"Platte County, Wyoming",56031,20.7,1753,"1017 of 3146"
"Polk County, North Carolina",37149,20.7,4194,"1016 of 3146"
"Adair County, Iowa",19001,20.7,1435,"1015 of 3146"
"Racine County, Wisconsin",55101,20.7,39370,"1014 of 3146"
"Ottawa County, Kansas",20143,20.7,1186,"1013 of 3146"
"Cooke County, Texas",48097,20.7,8091,"1012 of 3146"
"Adams County, Illinois",17001,20.7,13344,"1011 of 3146"
"Henry County, Iowa",19087,20.7,3807,"1010 of 3146"
"Berkeley County, South Carolina",45015,20.7,43623,"1009 of 3146"
"Sioux County, Nebraska",31165,20.7,252,"1008 of 3146"
"Livingston County, New York",36051,20.7,11870,"1007 of 3146"
"Lawrence County, South Dakota",46081,20.6,5033,"1006 of 3146"
"Stearns County, Minnesota",27145,20.6,31218,"1005 of 3146"
"Floyd County, Virginia",51063,20.6,3214,"1004 of 3146"
"Lorain County, Ohio",39093,20.6,61371,"1003 of 3146"
"Kane County, Utah",49025,20.6,1516,"1002 of 3146"
"Lancaster County, Nebraska",31109,20.6,61623,"1001 of 3146"
"Columbia County, Oregon",41009,20.6,10451,"1000 of 3146"
"Big Stone County, Minnesota",27011,20.5,997,"999 of 3146"
"Itasca County, Minnesota",27061,20.5,9059,"998 of 3146"
"Lampasas County, Texas",48281,20.5,4232,"997 of 3146"
"Perkins County, South Dakota",46105,20.5,584,"995 of 3146"
"Pratt County, Kansas",20151,20.5,1844,"995 of 3146"
"Kanabec County, Minnesota",27065,20.5,3245,"994 of 3146"
"Meade County, Kentucky",21163,20.5,5698,"993 of 3146"
"Burleson County, Texas",48051,20.5,3647,"992 of 3146"
"Saline County, Kansas",20169,20.5,10920,"991 of 3146"
"Kent County, Michigan",26081,20.5,130724,"990 of 3146"
"Madison County, Illinois",17119,20.5,53092,"989 of 3146"
"Knox County, Ohio",39083,20.5,11882,"988 of 3146"
"Uinta County, Wyoming",56041,20.5,4154,"987 of 3146"
"Washington County, New York",36115,20.5,11940,"986 of 3146"
"Bayfield County, Wisconsin",55007,20.5,3040,"985 of 3146"
"Crawford County, Illinois",17033,20.5,3406,"984 of 3146"
"Chelan County, Washington",53007,20.5,15379,"983 of 3146"
"Crane County, Texas",48103,20.5,959,"982 of 3146"
"Van Wert County, Ohio",39161,20.5,5694,"981 of 3146"
"Wakulla County, Florida",12129,20.5,5908,"980 of 3146"
"Keweenaw County, Michigan",26083,20.5,430,"979 of 3146"
"Grady County, Oklahoma",40051,20.4,11087,"978 of 3146"
"Custer County, South Dakota",46033,20.4,1725,"977 of 3146"
"Wayne County, Utah",49055,20.4,542,"976 of 3146"
"Polk County, Minnesota",27119,20.4,6220,"975 of 3146"
"Polk County, Oregon",41053,20.4,16590,"973 of 3146"
"West Baton Rouge Parish, Louisiana",22121,20.4,5153,"973 of 3146"
"Custer County, Montana",30017,20.4,2316,"972 of 3146"
"Adams County, Idaho",16003,20.4,831,"971 of 3146"
"Jefferson County, Washington",53031,20.4,6214,"970 of 3146"
"Salem County, New Jersey",34033,20.4,12572,"969 of 3146"
"Merrick County, Nebraska",31121,20.4,1554,"968 of 3146"
"Austin County, Texas",48015,20.4,6006,"967 of 3146"
"Rio Blanco County, Colorado",08103,20.4,1227,"966 of 3146"
"Hubbard County, Minnesota",27057,20.4,4221,"965 of 3146"
"Grant County, Kansas",20067,20.3,1502,"964 of 3146"
"Franklin County, Kentucky",21073,20.3,9898,"963 of 3146"
"Lafayette County, Wisconsin",55065,20.3,3362,"962 of 3146"
"Johnson County, Illinois",17087,20.3,2066,"961 of 3146"
"Antelope County, Nebraska",31003,20.3,1270,"960 of 3146"
"Yamhill County, Oregon",41071,20.3,20231,"959 of 3146"
"Crockett County, Texas",48105,20.3,693,"958 of 3146"
"Keith County, Nebraska",31101,20.3,1617,"957 of 3146"
"Keokuk County, Iowa",19107,20.3,2035,"956 of 3146"
"Logan County, Kansas",20109,20.3,561,"955 of 3146"
"Sherman County, Texas",48421,20.3,612,"954 of 3146"
"Woodward County, Oklahoma",40153,20.2,3978,"953 of 3146"
"Charles City County, Virginia",51036,20.2,1412,"952 of 3146"
"Kootenai County, Idaho",16055,20.2,31409,"951 of 3146"
"Taylor County, Wisconsin",55119,20.2,4041,"950 of 3146"
"Fulton County, Pennsylvania",42057,20.2,2911,"949 of 3146"
"Berks County, Pennsylvania",42011,20.2,81705,"948 of 3146"
"Sandusky County, Ohio",39143,20.2,11644,"947 of 3146"
"Tuolumne County, California",06109,20.2,10189,"946 of 3146"
"Columbia County, New York",36021,20.2,11802,"944 of 3146"
"Dauphin County, Pennsylvania",42043,20.2,54627,"944 of 3146"
"Washoe County, Nevada",32031,20.1,90945,"943 of 3146"
"Wyandot County, Ohio",39175,20.1,4361,"942 of 3146"
"Wallace County, Kansas",20199,20.1,312,"941 of 3146"
"Madison County, Virginia",51113,20.1,2617,"940 of 3146"
"Galveston County, Texas",48167,20.1,65708,"939 of 3146"
"Oneida County, Idaho",16071,20.1,877,"938 of 3146"
"Sandoval County, New Mexico",35043,20.1,28499,"937 of 3146"
"Lenawee County, Michigan",26091,20.1,18777,"936 of 3146"
"Washtenaw County, Michigan",26161,20.1,69813,"935 of 3146"
"Newton County, Indiana",18111,20.1,2765,"934 of 3146"
"Giles County, Virginia",51071,20.1,3330,"933 of 3146"
"Hamilton County, Illinois",17065,20.1,1624,"932 of 3146"
"Kossuth County, Iowa",19109,20.1,2960,"931 of 3146"
"Erie County, Ohio",39043,20.1,14801,"930 of 3146"
"Adams County, Iowa",19003,20.1,725,"929 of 3146"
"Benton County, Washington",53005,20.1,39290,"928 of 3146"
"Yellow Medicine County, Minnesota",27173,20.1,1926,"927 of 3146"
"Moore County, North Carolina",37125,20.1,19268,"926 of 3146"
"Douglas County, Nebraska",31055,20.1,109914,"925 of 3146"
"Skamania County, Washington",53059,20.1,2331,"924 of 3146"
"Cleveland County, Oklahoma",40027,20.0,53571,"923 of 3146"
"Carroll County, Ohio",39019,20.0,5397,"922 of 3146"
"Huntington County, Indiana",18069,20.0,7002,"921 of 3146"
"Dawes County, Nebraska",31045,20.0,1559,"920 of 3146"
"Greene County, Iowa",19073,20.0,1768,"919 of 3146"
"Cherry County, Nebraska",31031,20.0,1140,"918 of 3146"
"Park County, Montana",30067,20.0,3243,"917 of 3146"
"Martin County, Indiana",18101,20.0,1979,"916 of 3146"
"Portage County, Wisconsin",55097,20.0,13454,"915 of 3146"
"Tioga County, New York",36107,20.0,9656,"914 of 3146"
"Mecklenburg County, North Carolina",37119,20.0,211856,"913 of 3146"
"Orange County, North Carolina",37135,20.0,26670,"912 of 3146"
"Wayne County, Pennsylvania",42127,20.0,9541,"911 of 3146"
"Greenville County, South Carolina",45045,20.0,98956,"910 of 3146"
"Portage County, Ohio",39133,20.0,30961,"909 of 3146"
"Lincoln County, North Carolina",37109,20.0,16403,"908 of 3146"
"Pocahontas County, Iowa",19151,20.0,1327,"907 of 3146"
"Logan County, Ohio",39091,20.0,8941,"906 of 3146"
"Davie County, North Carolina",37059,20.0,8379,"905 of 3146"
"Brule County, South Dakota",46015,20.0,1014,"904 of 3146"
"Skagway Hoonah Angoon Census Area, Alaska",02232,20.0,646,"903 of 3146"
"Clark County, Indiana",18019,20.0,22860,"902 of 3146"
"Baylor County, Texas",48023,19.9,690,"901 of 3146"
"O'Brien County, Iowa",19141,19.9,2691,"900 of 3146"
"Robertson County, Tennessee",47147,19.9,13799,"899 of 3146"
"Beaver County, Utah",49001,19.9,1284,"898 of 3146"
"Washington County, Maryland",24043,19.9,28137,"897 of 3146"
"Washington County, Kansas",20201,19.9,1065,"896 of 3146"
"Bureau County, Illinois",17011,19.9,6497,"895 of 3146"
"Comanche County, Texas",48093,19.9,2632,"894 of 3146"
"Jackson County, Georgia",13157,19.9,13336,"893 of 3146"
"Butler County, Ohio",39017,19.9,73050,"892 of 3146"
"Greene County, Virginia",51079,19.9,3850,"891 of 3146"
"Wayne County, Ohio",39169,19.9,22222,"890 of 3146"
"Hitchcock County, Nebraska",31087,19.9,548,"889 of 3146"
"Cook County, Minnesota",27031,19.9,1057,"888 of 3146"
"Lincoln County, Missouri",29113,19.8,11035,"887 of 3146"
"Yankton County, South Dakota",46135,19.8,4231,"886 of 3146"
"Cherokee County, Iowa",19035,19.8,2144,"885 of 3146"
"Wayne County, New York",36117,19.8,17676,"884 of 3146"
"Christian County, Missouri",29043,19.8,16763,"883 of 3146"
"Southeast Fairbanks Census Area, Alaska",02240,19.8,1342,"882 of 3146"
"La Crosse County, Wisconsin",55063,19.8,22327,"881 of 3146"
"White County, Indiana",18181,19.8,4706,"880 of 3146"
"Major County, Oklahoma",40093,19.8,1487,"879 of 3146"
"Perry County, Indiana",18123,19.7,3420,"878 of 3146"
"Fayette County, Tennessee",47047,19.7,7794,"877 of 3146"
"Trigg County, Kentucky",21221,19.7,2803,"876 of 3146"
"Ripley County, Indiana",18137,19.7,5495,"875 of 3146"
"King and Queen County, Virginia",51097,19.7,1385,"874 of 3146"
"Shawnee County, Kansas",20177,19.7,34109,"873 of 3146"
"Marquette County, Wisconsin",55077,19.7,2963,"872 of 3146"
"Highland County, Virginia",51091,19.7,429,"871 of 3146"
"Fulton County, Indiana",18049,19.7,3872,"870 of 3146"
"Eddy County, North Dakota",38027,19.7,436,"869 of 3146"
"Martin County, Texas",48317,19.7,1099,"868 of 3146"
"Rooks County, Kansas",20163,19.7,956,"867 of 3146"
"Mercer County, Missouri",29129,19.7,705,"866 of 3146"
"Lavaca County, Texas",48285,19.7,3841,"865 of 3146"
"Shawano County, Wisconsin",55115,19.6,7883,"864 of 3146"
"Collier County, Florida",12021,19.6,72224,"863 of 3146"
"Gwinnett County, Georgia",13135,19.6,178366,"861 of 3146"
"Rich County, Utah",49033,19.6,468,"861 of 3146"
"Clay County, Iowa",19041,19.6,3117,"860 of 3146"
"Berkeley County, West Virginia",54003,19.6,22386,"859 of 3146"
"Snyder County, Pennsylvania",42109,19.6,7477,"858 of 3146"
"Stevens County, Minnesota",27149,19.6,1861,"857 of 3146"
"Montour County, Pennsylvania",42093,19.6,3440,"856 of 3146"
"Madison County, Alabama",01089,19.6,69179,"855 of 3146"
"Roberts County, Texas",48393,19.6,155,"854 of 3146"
"Box Butte County, Nebraska",31013,19.6,2104,"853 of 3146"
"Bartholomew County, Indiana",18005,19.6,15911,"852 of 3146"
"Norton County, Kansas",20137,19.6,892,"851 of 3146"
"Johnson County, Texas",48251,19.5,32065,"850 of 3146"
"Jones County, Iowa",19105,19.5,3794,"849 of 3146"
"Campbell County, Kentucky",21037,19.5,17480,"848 of 3146"
"Shelby County, Kentucky",21211,19.5,9006,"847 of 3146"
"Waseca County, Minnesota",27161,19.5,3453,"846 of 3146"
"San Diego County, California",06073,19.5,630993,"845 of 3146"
"Kent County, Maryland",24029,19.5,3484,"844 of 3146"
"Crow Wing County, Minnesota",27035,19.5,12319,"843 of 3146"
"Nance County, Nebraska",31125,19.5,670,"842 of 3146"
"Whiteside County, Illinois",17195,19.5,10690,"841 of 3146"
"Monroe County, Iowa",19135,19.5,1495,"840 of 3146"
"Medina County, Texas",48325,19.5,9255,"839 of 3146"
"Pottawattamie County, Iowa",19155,19.5,17713,"838 of 3146"
"Hardin County, Texas",48199,19.4,10889,"837 of 3146"
"Lake of the Woods County, Minnesota",27077,19.4,721,"836 of 3146"
"Muscatine County, Iowa",19139,19.4,8171,"835 of 3146"
"Lee County, Illinois",17103,19.4,6016,"834 of 3146"
"Charlevoix County, Michigan",26029,19.4,4999,"833 of 3146"
"Camden County, New Jersey",34007,19.4,96932,"832 of 3146"
"Archer County, Texas",48009,19.4,1676,"831 of 3146"
"Coffey County, Kansas",20031,19.4,1576,"830 of 3146"
"Morrill County, Nebraska",31123,19.4,895,"829 of 3146"
"Cass County, Michigan",26027,19.4,9894,"828 of 3146"
"Tama County, Iowa",19171,19.4,3200,"827 of 3146"
"Woodford County, Kentucky",21239,19.4,5016,"826 of 3146"
"Stutsman County, North Dakota",38093,19.4,3756,"825 of 3146"
"Trousdale County, Tennessee",47169,19.3,1797,"824 of 3146"
"Harrison County, Indiana",18061,19.3,7607,"823 of 3146"
"Elmore County, Alabama",01051,19.3,14812,"822 of 3146"
"Redwood County, Minnesota",27127,19.3,2879,"821 of 3146"
"Garfield County, Washington",53023,19.3,426,"820 of 3146"
"Gage County, Nebraska",31067,19.3,4076,"819 of 3146"
"Monroe County, Pennsylvania",42089,19.3,31957,"818 of 3146"
"Carteret County, North Carolina",37031,19.3,13067,"817 of 3146"
"Fountain County, Indiana",18045,19.3,3124,"816 of 3146"
"Wise County, Texas",48497,19.3,12548,"815 of 3146"
"Carbon County, Pennsylvania",42025,19.3,12051,"814 of 3146"
"Morris County, Kansas",20127,19.3,1056,"813 of 3146"
"Johnson County, Wyoming",56019,19.2,1610,"812 of 3146"
"Scott County, Iowa",19163,19.2,32484,"811 of 3146"
"Okaloosa County, Florida",12091,19.2,38003,"810 of 3146"
"Marshall County, Kansas",20117,19.2,1835,"809 of 3146"
"Skagit County, Washington",53057,19.2,23757,"808 of 3146"
"Shiawassee County, Michigan",26155,19.2,12929,"807 of 3146"
"Staunton City, Virginia",51790,19.2,4437,"806 of 3146"
"Nelson County, Virginia",51125,19.2,2820,"805 of 3146"
"Clay County, Minnesota",27027,19.2,11472,"804 of 3146"
"Kearney County, Nebraska",31099,19.2,1236,"803 of 3146"
"Edwards County, Illinois",17047,19.2,1220,"802 of 3146"
"Adams County, Colorado",08001,19.2,95720,"801 of 3146"
"Marshall County, Kentucky",21157,19.2,5847,"800 of 3146"
"Kenosha County, Wisconsin",55059,19.2,31445,"799 of 3146"
"Nemaha County, Nebraska",31127,19.1,1234,"798 of 3146"
"Iredell County, North Carolina",37097,19.1,33263,"797 of 3146"
"Burnet County, Texas",48053,19.1,8784,"796 of 3146"
"Richland County, North Dakota",38077,19.1,2892,"795 of 3146"
"Shelby County, Indiana",18145,19.1,8325,"794 of 3146"
"Henderson County, North Carolina",37089,19.1,21680,"793 of 3146"
"Carlton County, Minnesota",27017,19.1,6514,"792 of 3146"
"Turner County, South Dakota",46125,19.1,1551,"791 of 3146"
"Wyoming County, New York",36121,19.1,7169,"790 of 3146"
"Sullivan County, New Hampshire",33019,19.1,8088,"789 of 3146"
"Wood County, Wisconsin",55141,19.1,13783,"788 of 3146"
