Incidence Rate Report for United States by HSA

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Health Service Area, HSA_Code,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Lamar, TX - Red River, TX(7)",0931,***,13.3 ,10, 17.4,N/A , 6 , 45,12,stable,-0.2 ,-3.0, 2.7
"Concordia, LA - Tensas, LA(7)",0435,***,13.1 ,8.1, 20.5,N/A , 4 , 15,4,rising,5.1 ,0.8, 9.7
"Livingston, MO - Carroll, MO(7)",0657,***,13.1 ,7.9, 20.6,N/A , 5 , 22,4,stable,-2.1 ,-8.0, 4.2
"Taylor (Abilene), TX - Jones, TX(7)",0428,***,13.1 ,11.1, 15.3,N/A , 14 , 43,32,stable,-1.1 ,-2.6, 0.3
"Tuscaloosa (Tuscaloosa), AL - Pickens, AL(7)",0156,***,13.1 ,11.2, 15.3,N/A , 14 , 20,35,stable,-1.6 ,-3.9, 0.8
"Spokane (Spokane), WA - Stevens, WA(7)",0698,***,13.1 ,11.9, 14.4,N/A , 11 , 14,90,falling,-19.7 ,-30.6, -7.1
"Howard, TX - Glasscock, TX(7)",0518,***,13.1 ,8.5, 19.3,N/A , 2 , 47,5,stable,-1.9 ,-5.6, 1.9
"Robeson, NC - Columbus, NC(7)",0207,***,13 ,11.2, 15.1,N/A , 28 , 32,39,stable,1.9 ,-0.1, 4.0
"Henry, VA - Patrick, VA(7)",0079,***,13 ,9.8, 16.9,N/A , 12 , 22,14,stable,1.0 ,-3.5, 5.6
"Navarro, TX - Freestone, TX(7)",0489,***,13 ,9.7, 17.1,N/A , 7 , 46,11,stable,1.7 ,-1.2, 4.8
"Hill, MT - Blaine, MT(7)",0712,***,12.9 ,7.8, 20.2,N/A , 9 , 12,4,stable,4.5 ,-0.3, 9.6
"Hale, TX - Castro, TX(7)",0481,***,12.9 ,8.7, 18.5,N/A , 3 , 47,6,stable,-0.3 ,-3.8, 3.2
"Sumter, SC - Clarendon, SC(7)",0196,***,12.8 ,10.5, 15.4,N/A , 10 , 13,25,falling,-2.2 ,-4.1, -0.1
"Madison (Jackson), TN - Gibson, TN(7)",0188,***,12.7 ,11, 14.6,N/A , 22 , 28,41,rising,1.8 ,0.4, 3.2
"Lincoln, LA - Union, LA(7)",0439,***,12.7 ,9.8, 16.1,N/A , 8 , 15,14,stable,-0.1 ,-2.8, 2.7
"Dallas, AL - Marengo, AL(7)",0175,***,12.6 ,9.5, 16.5,N/A , 13 , 20,12,stable,0.8 ,-2.3, 4.0
"Halifax with South Boston City, VA - Mecklenburg, VA(7)",0071,***,12.6 ,9.6, 16.3,N/A , 13 , 22,14,stable,1.4 ,-2.9, 5.9
"Aiken, SC - Edgefield, SC(7)",0889,***,12.4 ,10.5, 14.5,N/A , 10 , 13,34,stable,-2.4 ,-4.9, 0.1
"Bowie (Texarkana), TX(7)",0925,***,12.4 ,9.5, 15.9,N/A , 11 , 46,13,stable,2.4 ,-0.5, 5.5
"Warren, MS - Claiborne, MS(7)",0928,***,12.3 ,8.7, 17.1,N/A , 12 , 23,8,*,*,*,*
"Dyer, TN - Lauderdale, TN(7)",0248,***,12.3 ,9, 16.4,N/A , 17 , 28,10,stable,2.9 ,-0.9, 6.9
"Harris (Houston), TX - Fort Bend, TX(7)",0408,***,12.2 ,11.8, 12.7,N/A , 26 , 40,687,falling,-1.7 ,-2.7, -0.6
"Brazoria (Lake Jackson), TX - Wharton, TX(7)",0505,***,12.2 ,10.7, 13.7,N/A , 22 , 43,54,stable,-1.8 ,-4.0, 0.4
"Gogebic, MI - Ontonagon, MI(7)",0284,***,12.1 ,6.6, 20.7,N/A , 10 , 25,4,stable,1.0 ,-4.2, 6.3
"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK(7)",0819,***,12 ,9, 15.7,N/A , 2 , 4,12,stable,-0.2 ,-3.3, 3.1
"Midland (Midland), TX - Pecos, TX(7)",0492,***,11.9 ,9.7, 14.5,N/A , 18 , 45,21,stable,-1.3 ,-3.8, 1.2
"Gregg (Longview), TX - Rusk, TX(7)",0454,***,11.9 ,10.2, 14,N/A , 20 , 44,33,rising,8.3 ,1.7, 15.3
"Pittsylvania (Danville), VA - Danville City, VA(7)",0883,***,11.8 ,9.2, 15,N/A , 14 , 22,16,falling,-3.3 ,-6.0, -0.6
"Hertford, NC - Bertie, NC(7)",0243,***,11.8 ,8.7, 15.8,N/A , 27 , 32,11,stable,2.3 ,-0.8, 5.5
"Smith (Tyler), TX - Henderson, TX(7)",0441,***,11.8 ,10.5, 13.3,N/A , 24 , 43,61,stable,0.1 ,-2.8, 3.2
"Brunswick, VA - Greensville, VA(7)",0130,***,11.7 ,7.4, 17.7,N/A , 11 , 23,5,stable,-1.3 ,-5.7, 3.3
"Tom Green (San Angelo), TX - Runnels, TX(7)",0426,***,11.6 ,9.4, 14,N/A , 20 , 46,22,stable,-2.7 ,-5.7, 0.3
"Fairfax, VA - Arlington, VA(7)",0069,***,11.4 ,10.7, 12.1,N/A , 16 , 21,220,falling,-3.9 ,-5.8, -2.1
"Logan, CO - Phillips, CO(7)",0763,***,11.4 ,6.9, 17.8,N/A , 10 , 15,4,falling,-16.5 ,-26.6, -5.0
"Lubbock (Lubbock), TX - Hockley, TX(7)",0406,***,11.3 ,9.9, 13,N/A , 25 , 45,44,stable,0.0 ,-1.8, 1.8
"Crittenden (West Memphis), AR - St. Francis, AR(7)",0499,***,11.2 ,8.6, 14.4,N/A , 16 , 21,13,stable,-0.3 ,-3.3, 2.9
"Shelby (Memphis), TN - Tipton, TN(7)",0887,***,11.2 ,10.3, 12.1,N/A , 25 , 28,121,stable,-0.2 ,-2.3, 2.0
"Choctaw, AL - Sumter, AL(7)",0412,***,11.1 ,6.6, 17.8,N/A , 12 , 20,4,stable,1.5 ,-2.4, 5.6
"St. Mary, LA(7)",0528,***,11 ,7.4, 15.8,N/A , 8 , 15,6,stable,0.5 ,-2.5, 3.6
"Washington, VA - Smyth, VA(7)",0888,***,10.9 ,8.9, 13.2,N/A , 15 , 22,24,stable,-2.6 ,-6.2, 1.1
"Coahoma, MS - Tallahatchie, MS(7)",0422,***,10.8 ,7.1, 15.9,N/A , 14 , 24,5,*,*,*,*
"Florence (Florence), SC - Darlington, SC(7)",0184,***,10.7 ,9.3, 12.4,N/A , 10 , 14,41,falling,-2.2 ,-4.0, -0.3
"Leon, TX - Madison, TX(7)",0501,***,10.7 ,6.6, 16.7,N/A , 7 , 50,4,stable,-2.8 ,-7.1, 1.6
"Curry, NM - Roosevelt, NM(7)",0725,***,10.6 ,7.7, 14.2,N/A , 4 , 9,9,*,*,*,*
"Chaves, NM - Eddy, NM(7)",0772,***,10.6 ,8.2, 13.4,N/A , 5 , 9,14,falling,-1.3 ,-2.5, -0.1
"Anderson, TX - Cherokee, TX(7)",0509,***,10.5 ,8.4, 13,N/A , 26 , 46,17,stable,-0.8 ,-4.7, 3.2
"Adair, MO - Sullivan, MO(7)",0566,***,10.5 ,7, 15.1,N/A , 15 , 22,6,stable,-2.1 ,-5.4, 1.3
"Nacogdoches, TX - Shelby, TX(7)",0447,***,10.1 ,7.7, 13,N/A , 23 , 47,13,falling,-6.2 ,-10.4, -1.9
"District of Columbia, DC(7)",0061,***,9.9 ,8.9, 11.1,N/A , N/A , N/A,69,stable,0.9 ,-0.4, 2.3
"Kings (New York), NY - Queens, NY(7)",0094,***,9.9 ,9.6, 10.2,N/A , 21 , 21,919,falling,-1.7 ,-2.9, -0.4
"San Juan, NM(7)",0986,***,9.9 ,7.6, 12.6,N/A , 5 , 9,14,falling,-1.7 ,-3.1, -0.4
"Orangeburg, SC - Bamberg, SC(7)",0176,***,9.8 ,7.7, 12.3,N/A , 11 , 14,16,stable,-0.7 ,-3.2, 1.9
"Bexar (San Antonio), TX - Guadalupe, TX(7)",0410,***,9.8 ,9.2, 10.3,N/A , 38 , 46,227,stable,1.6 ,-3.6, 7.1
"Prince William (Dale City), VA - Fauquier, VA(7)",0109,***,9.6 ,8.4, 10.9,N/A , 19 , 22,51,falling,-6.1 ,-8.3, -3.8
"Yuma, AZ - La Paz, AZ(7)",0787,***,9.2 ,7.6, 11,N/A , 5 , 6,26,stable,0.1 ,-2.9, 3.0
"Bolivar, MS - Leflore, MS(7)",0487,***,9.2 ,6.7, 12.3,N/A , 19 , 24,10,*,*,*,*
"Nueces (Corpus Christi), TX - San Patricio, TX(7)",0437,***,9.1 ,8, 10.3,N/A , 39 , 46,55,falling,-1.7 ,-3.1, -0.4
"Marion, SC - Dillon, SC(7)",0199,***,9 ,6.2, 12.8,N/A , 10 , 14,7,falling,-4.8 ,-7.5, -2.1
"San Miguel, NM - Mora, NM(7)",0801,***,8.3 ,5, 13,N/A , 5 , 11,4,*,*,*,*
"Apache, AZ(7)",0765,***,7.9 ,5.3, 11.4,N/A , 5 , 6,6,stable,3.2 ,-1.3, 7.9
"Bee, TX - Karnes, TX(7)",0513,***,7.2 ,4.2, 11.5,N/A , 29 , 51,3,*,*,*,*
"El Paso (El Paso), TX - Hudspeth, TX(7)",0415,***,6.2 ,5.5, 7.1,N/A , 45 , 50,50,stable,-1.2 ,-3.2, 0.9
"Wise, VA - Lee, VA(7)",0055,***,6.2 ,4.2, 8.9,N/A , 22 , 23,6,stable,-3.7 ,-7.9, 0.6
"Cameron (Brownsville), TX - Willacy, TX(7)",0520,***,5.8 ,4.9, 7,N/A , 45 , 50,25,falling,-2.7 ,-4.8, -0.6
"Washington, MS - Sharkey, MS(7)",0488,***,5.7 ,3.2, 9.3,N/A , 22 , 24,3,*,*,*,*
"Maverick, TX - Val Verde, TX(7)",0516,***,5.4 ,3.7, 7.7,N/A , 45 , 51,6,falling,-4.0 ,-7.7, -0.2
"Hidalgo (Mcallen), TX - Starr, TX(7)",0427,***,5.2 ,4.5, 5.9,N/A , 46 , 51,40,falling,-2.8 ,-4.5, -1.0
"Lea, NM(7)",0508,***,5 ,2.8, 8.1,N/A , 9 , 11,3,*,*,*,*
"McKinley, NM(7)",0974,***,4.8 ,2.7, 7.7,N/A , 9 , 11,3,*,*,*,*
"Webb (Laredo), TX - Zapata, TX(7)",0538,***,3.3 ,2.3, 4.5,N/A , 49 , 51,8,falling,-4.0 ,-7.8, -0.1
"Alpine, CA(7)",0701,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Atchison, MO - Holt, MO(7)",0678,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Baca, CO(7)",0562,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Beaver, OK(7)",0535,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Bowman, ND - Hettinger, ND(7)",0640,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Boyd, NE(7)",0595,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Brewster, TX - Presidio, TX(7)",0526,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Cherry, NE(7)",0668,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Childress, TX - Hall, TX(7)",0512,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Choctaw, OK(7)",0438,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Claiborne, LA(7)",0523,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Clark, MO(7)",0922,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Colfax, NM(7)",0963,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Collingsworth, TX(7)",0524,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Daggett, UT(7)",0799,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Deaf Smith, TX - Parmer, TX(7)",0491,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Dickey, ND - LaMoure, ND(7)",0680,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Dimmit, TX(7)",0531,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Emmet, IA(7)",0626,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Fulton, KY(7)",0181,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Gaines, TX - Andrews, TX(7)",0937,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Grant, ND(7)",0670,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Grant, OR(7)",0806,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Grundy, MO - Mercer, MO(7)",0683,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Henderson, IL(7)",0340,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Jackson, CO(7)",0771,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Lemhi, ID(7)",0813,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Linn, MO(7)",0673,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Lipscomb, TX(7)",0935,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Madison, LA(7)",0431,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Malheur, OR(7)",0968,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"McCurtain, OK(7)",0983,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"McIntosh, ND - Logan, ND(7)",0684,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Nemaha, NE(7)",0687,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Pemiscot, MO(7)",0956,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Pendleton, WV(7)",0870,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Perkins, SD - Harding, SD(7)",0959,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Phillips, AR(7)",0537,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Platte, WY(7)",0797,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Powell, MT(7)",0788,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Quitman, GA(7)",0891,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Roberts, SD(7)",0952,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Rolette, ND - Pierce, ND(7)",0638,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Roosevelt, MT - Valley, MT(7)",0779,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"San Juan, UT(7)",0970,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Scurry, TX(7)",0519,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Shannon, SD - Bennett, SD(7)",0957,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Sheridan, MT - Daniels, MT(7)",0733,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Terry, TX - Yoakum, TX(7)",0514,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Texas, OK - Cimarron, OK(7)",0951,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Union, NM(7)",0814,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Uvalde, TX(7)",0536,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Wabash, IL(7)",0273,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Weston, WY(7)",0804,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Wheatland, MT - Meagher, MT(7)",0778,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Whitman, WA(7)",0976,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Wilkinson, MS(7)",0525,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 10/13/2021 10:46 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2018 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
*** No Healthy People 2020 Objective for this cancer.
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php . Puerto Rico is being treated as a Health Service Area for this data presentation."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2020 submission."
7 Source: SEER November 2020 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2018 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2020 data. "


"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
